n_faces,avg_confidence_faces,std_confidence_faces,avg_relativeSize_faces,std_relativeSize_faces,avg_thirdRule_x,std_thirdRule_x,avg_thirdRule_y,std_thirdRule_y,id,num_clts,avg_silhouette,avg_intra_clt_dist,avg_inter_clt_dist,faces_in_noise_clt,num_core_samples,avg_imgs_clt,avg_std_silhouette,avg_std_intra_clt_dist,avg_std_inter_clt_dist,avg_n_core_samples,std_n_core_samples,GTrends_popularity,label
134,0.9989374706994242,0.0024492368664308546,7.555703461957935,7.668625279600724,1.0597014925373134,0.5720454531319024,0.5298507462686567,0.5301482060829525,Donald Trump,1,0.3018903732299805,11.188118934631348,16.10420799255371,28,101,106.0,0.130867600440979,1.7019178867340088,0.7824628353118896,101.0,0,5074,1
137,0.9992584677508277,0.0020966579046026858,10.468123941049862,12.496891573618724,0.9416058394160584,0.5911905156952394,0.5328467153284672,0.500750831700448,Fernando Onega,1,0.2562286853790283,11.497583389282227,15.486495971679688,52,80,85.0,0.07122731953859329,1.0483336448669434,0.3885885775089264,80.0,0,100,1
135,0.9989103078842163,0.002479648279763889,6.1363777983289385,8.922886462608068,1.0666666666666667,0.6932510475472603,0.5111111111111111,0.5163977794943221,Natalia Escudero,2,0.09427446126937866,14.108154296875,15.598920822143555,28,88,53.5,0.04340698104351759,0.6959876120090485,0.6423118710517883,44.0,60.81118318204309,281,1
140,0.9991255377020155,0.0024364824080070732,8.901357234627756,10.032078093978054,0.9642857142857143,0.541921896808473,0.5142857142857142,0.5294997542232744,Angel Gabilondo,1,0.2791486978530884,11.133773803710938,15.459406852722168,41,97,99.0,0.08336786925792694,1.2126712799072266,0.4799862504005432,97.0,0,101,1
123,0.9983377602042222,0.003319091987685242,8.37722406877991,6.436140618701141,0.943089430894309,0.6566284101268685,0.5284552845528455,0.5329350105248821,Papa Juan XXIII,2,0.2896192371845245,9.887505531311037,13.93971061706543,27,93,48.0,0.11313916742801666,1.4140164852142334,0.6768244206905365,46.5,44.54772721475249,544,1
159,0.9993223559181645,0.002324168316313658,3.717036877216959,3.657765635438005,0.9622641509433962,0.6452042405790129,0.33962264150943394,0.48821800327786397,Isabel Garcia Tejerina,1,0.204447478055954,12.193349838256836,15.33912467956543,80,74,79.0,0.05510956421494484,0.968254327774048,0.33457568287849426,74.0,0,226,1
178,0.9990795294890243,0.0021005051160694695,4.138930560151477,3.7860432009865463,0.949438202247191,0.6661506922213859,0.48314606741573035,0.5231879581572172,Felipe VI,4,0.24957892298698425,11.16450309753418,14.89315414428711,42,122,34.0,0.08774991892278194,1.0465341657400131,0.638279065489769,30.5,44.75488800120049,243,1
136,0.9988606681718546,0.0026392465520052185,8.873148414916036,8.662934803871563,0.9558823529411765,0.642537182193443,0.4852941176470588,0.5016313257045502,Isabel Rabago,1,0.2549245357513428,11.671528816223145,15.666833877563475,19,111,117.0,0.1032085344195366,1.6547607183456419,0.5344750285148621,111.0,0,100,1
125,0.9995715713500977,0.002063427945198816,6.8784032599780005,5.635428718108757,0.992,0.5461891436536989,0.64,0.5736133349779419,Sergi Sabria,1,0.356984406709671,10.11555004119873,15.732343673706055,30,93,95.0,0.07453783601522446,1.127438187599182,0.5179535150527954,93.0,0,100,1
152,0.9992503833613897,0.001526274419836809,5.844665724753096,6.373227010748511,0.9605263157894737,0.6698974810107008,0.46710526315789475,0.513625770921686,Edurne Uriarte,3,0.21147537231445312,12.00811004638672,15.295147895812988,60,85,30.666666666666668,0.0730702808747689,1.1536003947257996,0.6228832403818766,28.333333333333332,38.88873015840622,100,1
