@relation summary_features_participants_classification_th20-weka.filters.unsupervised.attribute.Remove-R10

@attribute n_faces numeric
@attribute avg_confidence_faces numeric
@attribute std_confidence_faces numeric
@attribute avg_relativeSize_faces numeric
@attribute std_relativeSize_faces numeric
@attribute avg_thirdRule_x numeric
@attribute std_thirdRule_x numeric
@attribute avg_thirdRule_y numeric
@attribute std_thirdRule_y numeric
@attribute num_clts numeric
@attribute avg_silhouette numeric
@attribute avg_intra_clt_dist numeric
@attribute avg_inter_clt_dist numeric
@attribute faces_in_noise_clt numeric
@attribute num_core_samples numeric
@attribute avg_imgs_clt numeric
@attribute avg_std_silhouette numeric
@attribute avg_std_intra_clt_dist numeric
@attribute avg_std_inter_clt_dist numeric
@attribute avg_n_core_samples numeric
@attribute std_n_core_samples numeric
@attribute GTrends_popularity numeric
@attribute label {1,0}

@data
134,0.998937,0.002449,7.555703,7.668625,1.059701,0.572045,0.529851,0.530148,1,0.30189,11.188119,16.104208,28,101,106,0.130868,1.701918,0.782463,101,0,5074,1
137,0.999258,0.002097,10.468124,12.496892,0.941606,0.591191,0.532847,0.500751,1,0.256229,11.497583,15.486496,52,80,85,0.071227,1.048334,0.388589,80,0,100,1
135,0.99891,0.00248,6.136378,8.922886,1.066667,0.693251,0.511111,0.516398,2,0.094274,14.108154,15.598921,28,88,53.5,0.043407,0.695988,0.642312,44,60.811183,281,1
140,0.999126,0.002436,8.901357,10.032078,0.964286,0.541922,0.514286,0.5295,1,0.279149,11.133774,15.459407,41,97,99,0.083368,1.212671,0.479986,97,0,101,1
123,0.998338,0.003319,8.377224,6.436141,0.943089,0.656628,0.528455,0.532935,2,0.289619,9.887506,13.939711,27,93,48,0.113139,1.414016,0.676824,46.5,44.547727,544,1
159,0.999322,0.002324,3.717037,3.657766,0.962264,0.645204,0.339623,0.488218,1,0.204447,12.19335,15.339125,80,74,79,0.05511,0.968254,0.334576,74,0,226,1
178,0.99908,0.002101,4.138931,3.786043,0.949438,0.666151,0.483146,0.523188,4,0.249579,11.164503,14.893154,42,122,34,0.08775,1.046534,0.638279,30.5,44.754888,243,1
136,0.998861,0.002639,8.873148,8.662935,0.955882,0.642537,0.485294,0.501631,1,0.254925,11.671529,15.666834,19,111,117,0.103209,1.654761,0.534475,111,0,100,1
125,0.999572,0.002063,6.878403,5.635429,0.992,0.546189,0.64,0.573613,1,0.356984,10.11555,15.732344,30,93,95,0.074538,1.127438,0.517954,93,0,100,1
152,0.99925,0.001526,5.844666,6.373227,0.960526,0.669897,0.467105,0.513626,3,0.211475,12.00811,15.295148,60,85,30.666667,0.07307,1.1536,0.622883,28.333333,38.88873,100,1
84,0.999297,0.002262,6.162803,10.674945,0.928571,0.433137,0.333333,0.474236,1,0.309458,10.340435,14.96681,32,51,52,0.062311,1.040522,0.31239,51,0,100,1
160,0.999562,0.001489,9.41062,8.172975,0.98125,0.730915,0.79375,0.51514,2,0.306847,10.204844,14.768603,30,126,65,0.086928,1.320879,0.623541,63,73.539105,242,1
133,0.999267,0.002029,5.593761,5.589898,1.015038,0.706946,0.511278,0.545179,2,0.053065,14.379331,15.172145,103,23,15,0.090198,1.138342,0.701332,11.5,14.849242,100,1
119,0.999348,0.002018,5.858294,7.467279,1.067227,0.620703,0.504202,0.502096,2,0.156367,12.518632,14.787198,55,60,32,0.072214,1.252786,0.729913,30,31.112698,159,1
132,0.999362,0.002082,9.567421,8.661226,0.954545,0.536651,0.636364,0.528179,1,0.336563,10.147655,15.296434,38,94,94,0.058952,0.98189,0.379564,94,0,232,1
123,0.999736,0.000779,8.191774,5.764735,0.98374,0.613826,0.577236,0.528036,2,0.33616,9.939494,15.022783,29,90,47,0.066978,0.966193,0.435862,45,48.083261,108,1
132,0.999733,0.001296,8.994345,5.757544,0.992424,0.623903,0.590909,0.508771,3,0.371375,9.6138,15.380476,16,114,38.666667,0.072764,1.092425,0.449378,38,53.730811,1150,1
