@relation summary_features_participants_classification-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute n_faces numeric
@attribute avg_confidence_faces numeric
@attribute std_confidence_faces numeric
@attribute avg_relativeSize_faces numeric
@attribute std_relativeSize_faces numeric
@attribute avg_thirdRule_x numeric
@attribute std_thirdRule_x numeric
@attribute avg_thirdRule_y numeric
@attribute std_thirdRule_y numeric
@attribute num_clts numeric
@attribute avg_silhouette numeric
@attribute avg_intra_clt_dist numeric
@attribute avg_inter_clt_dist numeric
@attribute faces_in_noise_clt numeric
@attribute num_core_samples numeric
@attribute avg_imgs_clt numeric
@attribute avg_std_silhouette numeric
@attribute avg_std_intra_clt_dist numeric
@attribute avg_std_inter_clt_dist numeric
@attribute avg_n_core_samples numeric
@attribute std_n_core_samples numeric
@attribute GTrends_popularity numeric
@attribute label {1,0}

@data
0.666667,0.475722,0.65748,0.359522,0.315176,0.908167,0.455828,0.426826,0.463753,0,0.641276,0.435065,0.839547,0.185567,0.8,0.901786,0.882967,0.861763,0.800321,0.909091,0,1,1
0.689394,0.686352,0.518898,0.632293,0.694585,0.227331,0.496994,0.433333,0.318337,0,0.548268,0.474954,0.614196,0.43299,0.632,0.714286,0.413914,0.447779,0.203728,0.718182,0,0.019708,1
0.674242,0.458005,0.669685,0.22659,0.413737,0.948327,0.716433,0.386124,0.395737,0.2,0.218377,0.811453,0.655211,0.185567,0.696,0.433036,0.195121,0.224602,0.588037,0.390909,0.826923,0.05538,0
0.712121,0.599738,0.652362,0.485553,0.500898,0.358085,0.391061,0.39302,0.460548,0,0.594955,0.42806,0.604314,0.319588,0.768,0.839286,0.509398,0.551871,0.342165,0.872727,0,0.019905,1
0.583333,0.082677,1,0.436463,0.218327,0.235881,0.63769,0.423794,0.47754,0.2,0.616281,0.267418,0.049906,0.175258,0.736,0.383929,0.743535,0.679404,0.640312,0.413636,0.605769,0.107213,1
0.856061,0.728346,0.608268,0,0,0.346428,0.613127,0.013662,0.25634,0,0.442792,0.564637,0.560433,0.721649,0.584,0.660714,0.28716,0.397056,0.121915,0.663636,0,0.044541,1
1,0.569554,0.520472,0.039514,0.01008,0.272484,0.658165,0.325385,0.429325,0.6,0.534723,0.432021,0.397736,0.329897,0.968,0.258929,0.543861,0.446639,0.581928,0.268182,0.608586,0.047891,1
0.681818,0.425853,0.732283,0.482911,0.39331,0.309635,0.607393,0.330051,0.32269,0,0.545612,0.497375,0.679986,0.092784,0.88,1,0.66544,0.831893,0.424698,1,0,0.019708,1
0.598485,0.892388,0.505512,0.296087,0.155406,0.51786,0.400236,0.666064,0.67876,0,0.753499,0.296812,0.703885,0.206186,0.736,0.803571,0.439954,0.497884,0.399674,0.836364,0,0.019708,1
0.80303,0.681102,0.294094,0.199269,0.213383,0.336408,0.666219,0.290545,0.382025,0.4,0.457107,0.54076,0.54439,0.515464,0.672,0.229167,0.428409,0.514455,0.558608,0.248485,0.528817,0.019708,1
0.287879,0.711942,0.583858,0.229065,0.551415,0.152183,0.157163,0,0.187176,0,0.656692,0.325799,0.424607,0.226804,0.4,0.419643,0.343793,0.442831,0.08831,0.454545,0,0.019708,1
0.863636,0.885827,0.279528,0.533249,0.354808,0.455885,0.797414,1,0.389514,0.2,0.651373,0.308322,0.352298,0.206186,1,0.535714,0.537396,0.620411,0.559605,0.563636,1,0.047694,1
0.659091,0.692257,0.492126,0.17577,0.151828,0.650678,0.745878,0.386487,0.538107,0.2,0.134437,0.846407,0.499516,0.958763,0.176,0.089286,0.563113,0.504791,0.677434,0.095455,0.201923,0.019708,0
0.55303,0.745407,0.487795,0.200546,0.299354,0.951555,0.560448,0.371118,0.32499,0.2,0.344856,0.606566,0.359082,0.463918,0.472,0.241071,0.421676,0.57728,0.720725,0.263636,0.423077,0.031336,1
0.651515,0.754593,0.512992,0.547935,0.393175,0.301927,0.379728,0.658166,0.454013,0,0.711903,0.30095,0.544859,0.28866,0.744,0.794643,0.317376,0.405693,0.190058,0.845455,0,0.045723,1
0.583333,1,0,0.419095,0.165567,0.47024,0.545662,0.529744,0.453306,0.2,0.711082,0.274119,0.445027,0.195876,0.712,0.375,0.380497,0.395751,0.275331,0.4,0.653846,0.021285,1
0.651515,0.998031,0.203543,0.494262,0.165002,0.520305,0.567328,0.559441,0.358009,0.4,0.782812,0.232137,0.575519,0.061856,0.904,0.300595,0.426002,0.475707,0.295804,0.336364,0.730643,0.226646,1
0.174242,0.745407,0.554331,0.765028,1,0.396873,0.60414,0.535117,0.577883,0,0.00616,0.991641,0.558655,0.453608,0.024,0.089286,0.230496,0.262463,0.673815,0.027273,0,0.019708,0
0.280303,0.538058,0.810236,0.490537,0.524335,0.63344,0.459368,0.610588,0.7144,0,0.224111,0.770454,0.541297,0.57732,0.12,0.107143,0.256512,0.364276,0.163893,0.136364,0,0,0
0.409091,0.705381,0.538189,0.637668,0.536396,0.852239,0.53587,0.622625,0.254431,0.4,0.252386,0.70329,0.412601,0.329897,0.344,0.127976,0.532316,0.49449,0.900646,0.124242,0.198148,0.019708,0
0.613636,0.983596,0.411024,0.297048,0.173322,0.654771,0.579882,0.524459,0.296473,0.2,0.774483,0.255579,0.627712,0.123711,0.784,0.424107,0.603789,0.635275,0.602137,0.440909,0.778846,0.019708,1
0.462121,0.375984,0.781102,1,0.610307,0.671744,0.289968,0.899904,0,0.2,0.599849,0.449004,0.713777,0.175258,0.608,0.3125,0.4491,0.445485,0.415547,0.340909,0.298077,0.019708,1
0.621212,0.818241,0.51378,0.461988,0.484911,0.29374,0.366137,0.395928,0.47382,0.2,0.576361,0.433478,0.578601,0.340206,0.64,0.334821,0.461684,0.582292,0.294998,0.359091,0.567308,0.019708,1
0.386364,0.419948,0.771654,0.162077,0.170324,0.385677,0.522398,0.574707,0.480132,0,0.618355,0.459123,0.813002,0.28866,0.456,0.482143,0.356652,0.543126,0.325637,0.518182,0,0.019708,1
0.643939,0.879921,0.138189,0.269846,0.123508,0.387949,0.290585,0.370282,0.610743,0,0.677931,0.401621,0.835861,0.103093,0.848,0.946429,0.690748,0.798524,0.388358,0.963636,0,0.070162,1
0.69697,0.875328,0.456693,0.197373,0.113674,0.68931,0.372093,0.188866,0.291887,0,0.6333,0.432259,0.786564,0.237113,0.808,0.892857,0.810432,0.817238,0.627301,0.918182,0,0.0203,1
0.55303,0.98622,0.042913,0.441047,0.287742,0.224852,0.246491,0.279859,0.480117,0.2,0.790376,0.177593,0.341656,0,0.848,0.441964,0.466206,0.543142,0.251245,0.477273,0.913462,0.022665,1
0.901515,0.830709,0.294882,0.136168,0.12284,0.45916,0.809302,0.394901,0.658998,0.2,0.264306,0.757201,0.618991,0.659794,0.656,0.361607,0.693611,0.722013,0.615578,0.368182,0.701923,0.019708,1
0.19697,0.575459,0.412205,0.701889,0.6188,0.163627,0.385503,0.693817,0.487591,0.2,0,0.950514,0.40895,0.484536,0.04,0.022321,0.471082,0.527541,0.722824,0.018182,0,0,0
